ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,1,1,2,1,1,1,1,1,10
B,1,-,1,2,1,1,0,1,2,1,10
C,2,1,-,1,2,1,1,2,1,1,12
D,1,1,1,-,2,1,1,1,1,1,10
E,1,2,1,1,-,1,1,1,1,1,10
F,1,1,1,1,1,-,1,1,0,1,8
G,2,1,1,1,1,2,-,1,1,1,11
H,1,1,1,2,2,1,1,-,1,1,11
I,1,2,1,1,2,2,1,1,-,1,12
J,2,1,1,1,1,1,1,1,2,-,11

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,1,2,16
B,2,-,1,2,2,2,1,2,2,2,16
C,2,2,-,2,2,2,2,2,2,2,18
D,2,2,1,-,2,2,1,2,2,1,15
E,2,2,1,2,-,2,2,1,1,2,15
F,1,2,2,2,2,-,2,2,0,2,15
G,2,2,1,2,2,2,-,2,2,2,17
H,2,2,1,2,2,2,2,-,1,1,15
I,2,2,1,2,2,2,1,2,-,2,16
J,2,2,2,2,2,2,2,1,2,-,17

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,1,2,2,2,1,1,13
B,2,-,1,1,1,1,1,1,2,2,12
C,1,2,-,1,1,2,2,2,1,1,13
D,1,2,1,-,2,2,1,1,1,2,13
E,1,1,1,2,-,2,1,1,1,1,11
F,1,1,2,1,1,-,1,1,1,1,10
G,1,1,1,1,2,2,-,1,1,1,11
H,1,2,1,2,2,2,1,-,1,1,13
I,1,2,1,2,2,1,1,2,-,2,14
J,2,1,2,1,2,2,2,1,2,-,15

