ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,2,1,2,1,0,1,1,1,10
B,1,-,1,0,1,1,1,2,1,2,10
C,1,1,-,1,1,1,2,1,1,1,10
D,1,1,0,-,1,1,0,1,1,2,8
E,2,1,2,1,-,1,1,1,0,1,10
F,1,1,1,1,1,-,1,1,1,2,10
G,1,1,1,0,1,1,-,1,1,1,8
H,1,0,2,0,0,1,1,-,1,0,6
I,2,1,1,2,1,1,1,2,-,1,12
J,1,1,0,0,1,1,2,1,0,-,7

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,1,2,2,1,1,1,2,14
B,2,-,2,1,2,2,2,2,2,1,16
C,1,2,-,1,2,2,2,2,2,2,16
D,2,1,1,-,2,2,1,1,2,2,14
E,2,2,2,1,-,1,1,2,1,2,14
F,2,2,1,2,2,-,1,1,2,2,15
G,1,2,2,1,2,2,-,2,2,2,16
H,2,0,2,0,0,2,2,-,2,2,12
I,2,2,2,2,1,2,1,2,-,2,16
J,2,2,2,2,1,1,2,2,2,-,16

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,1,1,2,2,1,1,2,2,13
B,1,-,2,1,1,2,1,1,2,2,13
C,1,1,-,1,1,1,1,1,2,1,10
D,1,1,1,-,1,1,1,1,2,2,11
E,1,1,1,1,-,1,1,1,2,2,11
F,2,2,1,1,1,-,1,2,1,2,13
G,1,1,2,1,2,2,-,1,2,2,14
H,0,1,1,1,1,1,1,-,2,2,10
I,1,1,1,1,1,1,1,2,-,2,11
J,2,2,1,1,2,2,1,1,2,-,14

