ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,1,1,1,0,2,1,1,1,8
B,0,-,1,0,2,0,0,1,1,0,5
C,0,1,-,0,1,2,0,1,0,0,5
D,1,0,0,-,1,0,1,1,0,0,4
E,0,1,0,1,-,1,1,1,1,1,7
F,0,0,0,0,0,-,1,0,1,1,3
G,1,0,0,1,0,2,-,1,0,0,5
H,0,0,0,0,1,0,0,-,2,0,3
I,1,1,0,0,1,0,0,1,-,1,5
J,1,2,0,1,0,1,0,0,1,-,6

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,1,2,1,0,2,1,1,1,9
B,0,-,1,0,1,0,0,0,2,0,4
C,0,1,-,0,1,2,0,2,0,1,7
D,2,0,0,-,1,0,1,2,0,0,6
E,0,1,0,1,-,2,1,1,1,2,9
F,0,0,0,0,0,-,1,0,1,1,3
G,2,0,0,1,0,2,-,1,0,0,6
H,0,0,0,0,1,0,0,-,2,0,3
I,1,1,0,0,1,0,0,1,-,1,5
J,1,2,0,1,0,1,0,0,1,-,6

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,0,1,0,0,2,0,0,0,3
B,0,-,0,0,0,0,0,0,1,0,1
C,0,0,-,0,0,1,0,0,0,0,1
D,1,0,0,-,0,0,0,0,0,0,1
E,0,0,0,0,-,1,0,0,0,1,2
F,0,0,0,0,0,-,0,0,0,0,0
G,1,0,0,0,0,1,-,0,0,0,2
H,0,0,0,0,0,0,0,-,1,0,1
I,0,0,1,0,0,0,0,0,-,0,1
J,0,0,0,0,0,0,0,0,0,-,0

