ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,0,0,0,0,0,2,0,0,2
B,0,-,1,0,0,0,0,0,0,1,2
C,0,0,-,0,1,0,0,0,0,0,1
D,0,0,0,-,0,0,0,0,0,0,0
E,0,1,1,0,-,0,1,1,0,1,5
F,0,0,0,0,1,-,0,1,1,1,4
G,0,0,0,0,1,0,-,1,0,1,3
H,0,0,0,0,1,0,1,-,1,1,4
I,1,0,0,0,0,0,0,0,-,0,1
J,1,0,0,0,1,1,0,1,0,-,4

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,0,0,0,0,1,2,0,0,3
B,0,-,1,0,1,0,0,0,0,1,3
C,0,0,-,0,1,0,0,0,0,0,1
D,0,0,0,-,0,0,0,0,0,0,0
E,0,1,1,0,-,0,1,1,0,1,5
F,0,0,0,0,1,-,0,1,1,1,4
G,0,0,0,0,1,0,-,1,0,1,3
H,0,0,0,0,1,0,1,-,1,1,4
I,1,0,0,0,0,0,0,1,-,0,2
J,1,0,0,0,1,1,0,1,0,-,4

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,0,1,0,0,0,2,0,0,3
B,1,-,0,0,0,0,0,0,0,0,1
C,0,0,-,0,0,0,0,0,0,0,0
D,0,0,0,-,0,0,0,0,0,0,0
E,2,0,0,2,-,0,0,0,0,0,4
F,1,0,0,0,0,-,0,0,0,0,1
G,1,0,0,1,0,0,-,0,0,0,2
H,0,1,0,0,0,0,0,-,0,0,1
I,0,1,0,0,0,0,1,1,-,0,3
J,1,0,0,0,0,0,0,0,0,-,1

