ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,0,2,2,2,1,2,1,13
B,2,-,2,2,2,2,0,0,1,1,12
C,2,2,-,1,1,1,1,1,2,1,12
D,0,0,1,-,1,0,1,1,1,1,6
E,2,2,1,1,-,2,2,2,2,1,15
F,2,2,1,0,2,-,1,1,2,2,13
G,2,2,1,0,2,1,-,0,1,1,10
H,0,1,1,0,2,1,1,-,1,2,9
I,1,1,1,0,2,1,1,0,-,1,8
J,0,1,1,1,1,1,0,0,1,-,6

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,0,2,2,2,2,2,1,14
B,2,-,2,2,2,2,0,0,1,1,12
C,2,2,-,1,2,2,1,1,2,1,14
D,0,1,1,-,1,0,2,1,1,1,8
E,2,2,1,1,-,2,2,2,2,1,15
F,2,2,1,0,2,-,1,2,2,2,14
G,2,2,1,0,2,1,-,0,1,0,9
H,1,1,1,0,2,1,1,-,1,1,9
I,1,1,1,0,2,1,1,0,-,1,8
J,0,1,1,0,1,2,0,0,1,-,6

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,0,0,1,1,1,0,1,0,5
B,1,-,1,1,1,0,0,0,0,0,4
C,1,1,-,0,0,0,1,0,1,0,4
D,0,0,0,-,0,0,0,0,0,0,0
E,1,1,0,0,-,1,1,1,1,1,7
F,1,0,0,0,1,-,0,0,1,1,4
G,0,1,0,0,1,0,-,0,0,0,2
H,0,0,0,0,1,0,0,-,0,0,1
I,0,0,1,0,1,0,0,0,-,0,2
J,0,0,0,0,0,0,0,0,0,-,0

