ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,1,1,2,1,1,1,1,1,10
B,1,-,1,1,1,1,1,1,1,1,9
C,1,1,-,1,1,1,1,1,1,1,9
D,2,1,2,-,1,2,2,1,1,1,13
E,1,1,1,1,-,1,1,1,1,1,9
F,1,1,1,1,1,-,1,1,1,1,9
G,1,1,1,1,1,1,-,1,1,1,9
H,1,1,1,1,1,1,1,-,1,1,9
I,2,1,1,1,1,2,1,1,-,2,12
J,1,1,1,1,1,1,1,1,1,-,9

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,2,1,2,1,1,1,2,1,12
B,1,-,1,1,1,1,1,1,1,1,9
C,1,1,-,1,2,1,1,2,1,1,11
D,2,1,2,-,1,2,2,1,1,1,13
E,1,1,1,1,-,1,1,2,1,1,10
F,1,2,2,1,1,-,1,2,2,1,13
G,1,1,1,1,1,1,-,1,1,1,9
H,1,1,2,1,1,1,2,-,1,1,11
I,2,1,1,1,1,2,1,1,-,2,12
J,1,1,1,1,1,1,1,1,2,-,10

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,0,1,1,1,0,1,1,1,1,7
B,0,-,0,0,0,1,1,0,0,0,2
C,1,0,-,1,1,1,0,1,0,1,6
D,1,0,1,-,1,1,1,1,1,1,8
E,0,0,0,0,-,0,0,1,0,0,1
F,0,1,1,0,0,-,1,1,1,1,6
G,1,0,0,0,0,0,-,0,1,0,2
H,0,0,1,0,1,1,1,-,0,1,5
I,1,0,0,1,1,1,1,0,-,1,6
J,0,0,1,0,0,0,1,0,1,-,3

