ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,2,2,2,2,1,1,14
B,2,-,1,2,1,2,1,1,1,1,12
C,2,2,-,1,2,1,1,1,2,1,13
D,2,2,2,-,2,1,1,2,1,1,14
E,1,2,1,1,-,1,1,1,1,1,10
F,2,2,1,0,1,-,1,1,1,1,10
G,2,1,2,1,2,1,-,1,0,1,11
H,1,2,1,2,2,0,2,-,2,2,14
I,1,2,1,2,1,1,0,2,-,1,11
J,2,1,1,2,2,2,1,1,0,-,12

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,2,2,2,2,1,1,14
B,2,-,1,2,2,2,2,2,2,1,16
C,2,2,-,2,2,1,1,2,1,2,15
D,2,2,2,-,2,2,1,2,0,1,14
E,2,2,2,1,-,1,1,2,1,2,14
F,2,2,1,2,2,-,1,2,2,2,16
G,2,1,2,1,2,1,-,2,0,1,12
H,2,2,1,2,2,1,2,-,2,1,15
I,2,2,1,2,1,2,2,2,-,2,16
J,2,1,2,1,2,1,1,1,2,-,13

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,1,2,1,2,2,1,1,14
B,2,-,2,2,2,2,2,2,1,1,16
C,2,2,-,1,1,1,2,2,1,2,14
D,2,2,2,-,1,2,1,2,1,1,14
E,2,2,2,1,-,2,1,2,1,2,15
F,2,1,2,1,2,-,1,1,2,1,13
G,1,1,1,1,1,2,-,1,1,2,11
H,2,2,1,2,2,2,2,-,2,2,17
I,2,1,1,1,1,2,2,2,-,1,13
J,1,1,2,1,2,0,2,1,2,-,12

