ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,0,0,0,1,1,0,0,1,4
B,1,-,0,0,0,1,1,0,1,1,5
C,1,1,-,1,1,1,0,1,1,2,9
D,0,0,1,-,1,1,0,1,2,1,7
E,1,1,1,1,-,1,0,2,1,1,9
F,0,2,1,1,1,-,0,1,1,0,7
G,0,1,1,1,1,1,-,1,1,0,7
H,1,1,1,1,2,0,1,-,0,1,8
I,1,0,1,2,0,1,0,0,-,1,6
J,1,0,1,1,1,1,0,1,0,-,6

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,0,0,1,2,1,2,1,1,9
B,1,-,0,1,1,2,2,1,1,1,10
C,2,1,-,1,1,2,1,2,1,2,13
D,1,0,1,-,2,2,1,1,2,1,11
E,1,0,1,1,-,2,0,2,1,2,10
F,2,2,1,2,2,-,0,1,1,0,11
G,0,2,2,1,0,2,-,1,2,0,10
H,2,2,2,0,2,0,2,-,2,2,14
I,1,0,1,2,2,1,1,2,-,2,12
J,0,0,1,2,2,1,0,2,1,-,9

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,1,1,2,2,1,1,1,1,11
B,1,-,1,1,1,2,1,1,1,1,10
C,1,1,-,1,2,1,1,2,1,1,11
D,1,1,2,-,1,2,1,1,2,1,12
E,2,1,1,1,-,2,1,1,2,1,12
F,1,2,1,1,1,-,1,1,1,1,10
G,1,1,2,1,1,1,-,1,2,1,11
H,1,1,2,1,2,1,1,-,2,1,12
I,1,1,1,1,2,1,1,1,-,1,10
J,1,1,1,1,1,1,1,1,1,-,9

