setup,run_id,model,version,condition,position_k,agent,fair_share,g_k,p_rem_k,ppi_k,behaviour
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,1,A,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,2,B,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,3,C,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,4,D,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,5,E,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,6,F,10000.0,0.5,50000.0,5.0,empathic
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,7,G,11250.0,1.0,45000.0,4.5,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,8,H,11250.0,1.0,33750.0,3.375,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,9,I,11250.0,1.0,22500.0,2.25,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085455Z_neutral_v1,claude-haiku-4-5-20251001,v1,neutral,10,J,11250.0,1.0,11250.0,1.125,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,1,C,10000.0,1.0,100000.0,10.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,2,J,10000.0,1.0,90000.0,9.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,3,G,10000.0,1.0,80000.0,8.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,4,A,10000.0,1.0,70000.0,7.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,5,F,10000.0,1.0,60000.0,6.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,6,H,10000.0,1.0,50000.0,5.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,7,I,10000.0,1.0,40000.0,4.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,8,E,10000.0,1.0,30000.0,3.0,fair
game_only,run_0001_claude-haiku-4-5-20251001_20260318T085554Z_neutral_v2,claude-haiku-4-5-20251001,v2,neutral,9,D,10000.0,1.0,20000.0,2.0,fair
