ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,2,1,16
B,2,-,2,2,2,2,1,2,2,2,17
C,2,2,-,2,2,2,2,2,1,2,17
D,2,1,1,-,2,2,1,2,2,1,14
E,2,2,2,2,-,2,2,2,1,2,17
F,2,2,1,2,2,-,2,2,2,2,17
G,2,2,2,2,1,2,-,2,2,2,17
H,2,2,1,2,2,2,2,-,1,2,16
I,2,2,1,2,2,1,2,2,-,1,15
J,2,1,2,2,2,2,2,1,2,-,16

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,2,2,17
B,2,-,2,2,2,2,2,2,2,1,17
C,1,2,-,2,2,2,2,2,2,2,17
D,2,2,1,-,2,2,1,2,2,2,16
E,2,2,1,2,-,2,2,2,1,2,16
F,2,2,2,2,2,-,1,2,1,2,16
G,2,1,2,2,2,2,-,2,2,2,17
H,2,2,2,2,2,2,2,-,1,2,17
I,2,2,1,2,2,1,2,2,-,2,16
J,2,1,2,2,2,2,1,1,2,-,15

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,0,1,2,2,2,2,2,15
B,2,-,2,1,1,2,2,2,2,2,16
C,0,2,-,1,1,1,2,2,1,2,12
D,2,2,1,-,2,2,1,2,1,1,14
E,2,2,1,2,-,1,0,1,1,2,12
F,1,1,2,1,1,-,2,1,1,1,11
G,2,0,2,2,2,2,-,1,2,2,15
H,2,1,2,2,2,2,1,-,1,1,14
I,2,2,2,2,2,1,1,2,-,2,16
J,2,2,2,1,1,2,1,2,2,-,15

