ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,1,1,2,1,2,15
B,2,-,2,1,2,2,2,2,1,2,16
C,2,2,-,2,2,2,2,2,2,2,18
D,2,2,2,-,2,2,2,2,2,2,18
E,2,2,2,2,-,2,1,2,1,2,16
F,2,2,2,2,2,-,2,2,2,2,18
G,2,2,2,1,2,2,-,2,1,1,15
H,2,2,2,2,1,2,2,-,1,2,16
I,2,2,2,2,1,2,1,2,-,2,16
J,1,2,1,2,2,1,2,1,2,-,14

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,1,1,2,2,2,16
B,2,-,2,1,2,2,2,2,2,2,17
C,2,2,-,2,1,2,2,2,2,2,17
D,2,2,1,-,2,2,2,2,2,2,17
E,2,2,2,2,-,1,1,2,2,2,16
F,2,2,2,2,2,-,2,2,2,2,18
G,2,2,2,1,2,2,-,2,2,2,17
H,2,1,2,1,0,2,2,-,2,2,14
I,2,2,2,2,2,2,2,1,-,2,17
J,2,2,1,2,2,2,2,2,2,-,17

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,1,1,1,1,2,2,12
B,1,-,2,2,2,2,2,1,2,2,16
C,1,2,-,1,2,1,2,2,2,2,15
D,1,2,1,-,2,1,1,2,2,2,14
E,2,2,1,1,-,2,1,1,2,2,14
F,2,2,2,1,1,-,1,2,2,2,15
G,1,1,2,1,2,2,-,1,2,2,14
H,2,2,1,2,1,1,2,-,2,2,15
I,1,2,2,2,2,2,2,2,-,2,17
J,1,2,2,2,2,2,2,2,2,-,17

