ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,2,2,2,2,2,18
B,1,-,1,2,2,2,1,2,1,2,14
C,1,2,-,1,2,2,1,2,2,1,14
D,2,2,1,-,2,2,2,2,0,1,14
E,2,2,1,1,-,?,1,1,2,2,12
F,2,1,1,2,1,-,1,2,2,1,13
G,1,2,1,1,1,2,-,1,1,0,10
H,2,2,2,2,2,2,1,-,2,1,16
I,2,2,1,1,2,2,0,1,-,2,13
J,2,2,1,2,2,1,0,1,1,-,12

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,2,2,17
B,0,-,2,1,1,1,1,2,2,1,11
C,2,1,-,0,1,2,0,2,0,0,8
D,2,2,0,-,2,2,2,2,2,0,14
E,2,1,2,2,-,?,1,1,2,2,13
F,1,2,1,2,2,-,2,2,2,2,16
G,1,1,2,1,1,2,-,1,1,2,12
H,2,1,0,1,2,2,2,-,2,0,12
I,2,2,2,2,2,2,0,0,-,2,14
J,1,2,2,1,1,0,2,2,2,-,13

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,2,1,1,1,1,14
B,0,-,2,2,2,2,2,2,2,1,15
C,2,0,-,2,2,2,1,1,0,1,11
D,2,2,2,-,2,1,1,0,2,2,14
E,2,2,2,2,-,?,2,2,2,2,16
F,2,2,2,2,2,-,2,2,2,2,18
G,2,0,2,2,0,2,-,1,1,2,12
H,2,0,2,2,2,2,2,-,2,2,16
I,2,2,2,2,0,2,0,0,-,2,12
J,0,0,2,1,0,2,2,2,2,-,11

