ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,1,1,2,2,1,1,12
B,2,-,2,1,2,2,0,1,1,2,13
C,0,0,-,1,0,1,1,1,1,1,6
D,0,1,0,-,0,2,1,1,1,1,7
E,1,1,2,0,-,2,1,2,1,2,12
F,0,1,0,0,1,-,2,2,2,1,9
G,0,0,1,2,1,2,-,1,1,1,9
H,0,2,0,1,1,1,1,-,2,2,10
I,1,2,0,0,2,2,0,1,-,0,8
J,2,1,1,1,2,2,1,2,1,-,13

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,0,0,1,1,2,2,1,0,9
B,2,-,2,0,2,1,2,2,0,2,13
C,0,2,-,2,2,2,0,1,1,0,10
D,2,2,0,-,1,1,1,1,1,1,10
E,1,2,1,2,-,1,0,2,1,1,11
F,2,2,0,2,0,-,1,2,2,0,11
G,2,2,1,2,1,2,-,0,1,2,13
H,0,2,2,2,2,0,2,-,2,1,13
I,0,0,0,1,0,2,2,0,-,0,5
J,1,2,0,1,0,2,2,0,2,-,10

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,1,0,2,1,1,2,2,1,2,12
B,2,-,2,2,2,1,1,0,2,2,14
C,2,2,-,2,2,0,1,1,1,1,12
D,2,0,1,-,1,2,2,2,2,2,14
E,2,0,1,2,-,2,1,2,0,2,12
F,2,2,2,2,1,-,2,1,2,2,16
G,2,2,2,2,1,0,-,2,1,2,14
H,2,2,2,2,0,0,2,-,1,1,12
I,2,2,1,2,0,0,2,2,-,2,13
J,2,2,1,1,0,0,0,1,1,-,8

