ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,2,1,2,2,2,17
B,2,-,2,2,2,2,2,2,2,2,18
C,2,2,-,2,2,2,1,2,2,2,17
D,2,2,2,-,2,2,2,2,2,2,18
E,2,2,1,2,-,2,2,2,2,1,16
F,2,2,2,2,2,-,2,2,2,2,18
G,2,2,1,0,2,2,-,2,1,2,14
H,2,1,2,2,2,2,2,-,2,2,17
I,2,2,2,2,2,2,1,1,-,2,16
J,1,2,1,2,2,2,1,2,2,-,15

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,2,2,17
B,2,-,1,2,2,2,1,2,2,2,16
C,2,2,-,2,2,2,2,2,2,2,18
D,2,2,1,-,2,2,2,2,2,2,17
E,2,2,1,2,-,2,2,2,2,1,16
F,2,2,2,2,2,-,2,2,2,2,18
G,2,2,1,0,2,2,-,2,1,2,14
H,2,2,0,2,2,2,2,-,2,1,15
I,2,2,1,2,2,2,2,1,-,2,16
J,2,1,2,2,2,1,1,2,2,-,15

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,1,2,2,2,2,17
B,2,-,2,2,1,2,2,1,1,2,15
C,0,2,-,1,1,1,2,2,1,2,12
D,1,1,1,-,1,1,1,2,1,2,11
E,1,1,0,0,-,2,2,2,2,2,12
F,2,1,1,1,2,-,1,2,2,2,14
G,2,2,1,1,1,1,-,2,0,2,12
H,1,2,2,2,2,2,1,-,1,1,14
I,2,1,0,2,1,2,0,1,-,2,11
J,2,1,2,1,1,2,0,1,2,-,12

