ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,2,2,1,2,1,16
B,?,-,2,1,2,2,2,2,2,1,14
C,2,1,-,2,2,2,2,2,2,2,17
D,2,2,2,-,2,2,2,2,2,2,18
E,2,1,1,1,-,2,1,2,2,2,14
F,2,2,2,2,2,-,2,2,2,2,18
G,2,2,2,2,2,2,-,2,2,2,18
H,1,2,2,2,2,2,2,-,2,2,17
I,2,2,1,2,2,2,2,2,-,2,17
J,2,1,2,1,1,2,2,2,2,-,15

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,2,2,2,2,1,17
B,?,-,2,1,2,2,2,2,2,2,15
C,2,2,-,2,2,2,2,2,2,2,18
D,2,2,2,-,2,2,2,2,2,2,18
E,2,2,2,1,-,2,2,2,2,2,17
F,2,2,2,2,2,-,2,2,2,2,18
G,2,2,2,2,2,2,-,2,2,2,18
H,2,1,2,2,2,1,2,-,2,2,16
I,2,2,2,2,2,2,2,2,-,2,18
J,2,1,2,2,1,2,2,1,2,-,15

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,2,2,2,1,2,2,2,17
B,?,-,1,1,2,2,1,2,1,2,12
C,2,1,-,2,2,1,2,2,2,2,16
D,2,1,1,-,2,2,2,2,1,2,15
E,0,0,2,1,-,1,1,2,2,1,10
F,1,1,2,1,1,-,2,2,1,1,12
G,2,1,2,2,1,1,-,2,2,2,15
H,1,1,2,1,1,2,1,-,2,2,13
I,1,2,2,1,2,1,2,1,-,2,14
J,2,1,2,2,1,1,2,1,2,-,14

