ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,1,1,15
B,2,-,1,2,2,2,1,2,2,2,16
C,2,2,-,2,2,2,1,1,1,2,15
D,2,2,2,-,2,2,2,2,2,2,18
E,2,2,2,2,-,1,1,1,1,1,13
F,2,2,1,2,2,-,2,2,2,2,17
G,2,1,2,1,1,1,-,2,0,1,11
H,2,2,2,1,2,2,1,-,2,2,16
I,2,2,1,2,1,2,2,1,-,2,15
J,2,1,2,1,2,2,1,1,1,-,13

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,2,2,2,2,2,1,1,15
B,2,-,1,2,2,2,2,2,2,1,16
C,1,2,-,2,1,1,0,1,1,2,11
D,2,2,2,-,2,2,2,2,1,2,17
E,2,2,1,2,-,1,1,2,2,2,15
F,2,2,2,2,2,-,2,2,1,2,17
G,2,1,2,1,1,1,-,1,2,1,12
H,2,2,2,1,2,2,2,-,2,2,17
I,2,2,2,1,1,2,1,2,-,2,15
J,2,1,2,1,2,1,0,1,2,-,12

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,2,1,2,2,2,2,2,2,17
B,2,-,2,2,2,2,1,2,2,2,17
C,2,2,-,2,1,0,2,2,1,2,14
D,2,2,2,-,1,2,1,2,2,2,16
E,2,2,2,2,-,1,1,2,1,2,15
F,2,2,2,1,2,-,1,2,2,1,15
G,2,1,2,1,1,2,-,2,2,1,14
H,2,2,2,1,2,2,2,-,1,1,15
I,2,2,2,1,2,2,2,2,-,1,16
J,1,0,2,2,2,0,2,2,2,-,13

