ER,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,1,2,2,2,0,1,12
B,2,-,0,1,2,2,2,1,2,1,13
C,1,2,-,2,2,2,2,1,2,2,16
D,2,1,2,-,2,1,2,2,2,1,15
E,2,2,2,1,-,2,2,2,1,2,16
F,2,2,2,2,1,-,2,2,2,1,16
G,1,1,2,2,1,2,-,2,2,2,15
H,2,2,2,2,2,1,2,-,1,1,15
I,2,1,2,2,2,1,0,1,-,2,13
J,1,2,2,2,2,2,2,2,1,-,16

IN,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,0,1,1,2,2,2,0,1,11
B,1,-,0,2,1,2,2,1,2,1,12
C,0,2,-,2,2,2,2,2,2,1,15
D,2,0,2,-,2,2,1,0,2,2,13
E,1,1,1,1,-,2,0,2,1,2,11
F,2,2,2,2,1,-,2,1,2,0,14
G,1,2,0,1,2,2,-,2,2,0,12
H,2,0,1,2,2,1,2,-,2,2,14
I,2,0,1,2,2,2,1,2,-,2,14
J,1,0,2,1,2,1,2,1,2,-,12

EX,A,B,C,D,E,F,G,H,I,J,Score
A,-,2,1,1,2,2,2,1,0,2,13
B,2,-,0,2,1,2,2,1,2,0,12
C,1,1,-,1,2,1,2,1,1,0,10
D,2,2,2,-,2,2,1,2,2,2,17
E,2,2,1,2,-,2,1,2,2,2,16
F,1,2,2,2,1,-,2,2,1,0,13
G,1,2,2,1,1,2,-,1,1,1,12
H,2,1,2,1,2,1,1,-,2,2,14
I,1,2,0,2,1,2,1,2,-,2,13
J,2,1,1,0,2,2,2,2,2,-,14

